Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-7.34502029418945,0,0
0.00500000,-7.72017383575439,0,0
0.01000000,-7.67397928237915,0,0
0.01500000,-7.21903562545776,0,0
0.02000000,-7.85455703735352,0,0
0.02500000,-7.66698026657105,0,0
0.03000000,-7.15464353561401,0,0
0.03500000,-7.5941891670227,0,0
0.04000000,-7.8405590057373,0,0
0.04500000,-7.4248104095459,0,0
0.05000000,-7.59138965606689,0,0
0.05500000,-7.98754072189331,0,0
0.06000000,-7.40801239013672,0,0
0.06500000,-7.23303413391113,0,0
0.07000000,-8.03373527526855,0,0
0.07500000,-7.66418075561523,0,0
0.08000000,-7.14624452590942,0,0
0.08500000,-7.97774219512939,0,0
0.09000000,-7.81116247177124,0,0
0.09500000,-7.08605194091797,0,0
0.10000000,-7.41921091079712,0,0
0.10500000,-8.00993824005127,0,0
0.11000000,-7.43320941925049,0,0
0.11500000,-7.41501140594482,0,0
0.12000000,-7.91474962234497,0,0
0.12500000,-7.60818767547607,0,0
0.13000000,-7.31562376022339,0,0
0.13500000,-7.74117136001587,0,0
0.14000000,-7.8517575263977,0,0
0.14500000,-7.27502870559692,0,0
0.15000000,-7.84335851669311,0,0
0.15500000,-7.90775060653687,0,0
0.16000000,-7.14204502105713,0,0
0.16500000,-7.64598274230957,0,0
0.17000000,-7.90075159072876,0,0
0.17500000,-7.5759916305542,0,0
0.18000000,-7.4360089302063,0,0
0.18500000,-7.8671555519104,0,0
0.19000000,-7.65998125076294,0,0
0.19500000,-7.39261436462402,0,0
0.20000000,-7.86295604705811,0,0
0.20500000,-7.83076000213623,0,0
0.21000000,-7.26662969589233,0,0
0.21500000,-7.89095258712769,0,0
0.22000000,-7.88535356521606,0,0
0.22500000,-7.13224649429321,0,0
0.23000000,-7.4696044921875,0,0
0.23500000,-7.96374368667603,0,0
0.24000000,-7.62218570709229,0,0
0.24500000,-7.37581634521484,0,0
0.25000000,-7.94974565505981,0,0
0.25500000,-7.67397928237915,0,0
0.26000000,-7.24843215942383,0,0
0.26500000,-7.79436445236206,0,0
