Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,24.3722667694092,0,0
0.00500000,25.146369934082,0,0
0.01000000,37.6034317016602,0,0
0.01500000,31.0746383666992,0,0
0.02000000,28.6165428161621,0,0
0.02500000,39.1586418151855,0,0
0.03000000,38.4069328308105,0,0
0.03500000,27.0571346282959,0,0
0.04000000,32.4842643737793,0,0
0.04500000,40.9616203308105,0,0
0.05000000,27.5960674285889,0,0
0.05500000,29.64821434021,0,0
0.06000000,39.465202331543,0,0
0.06500000,31.3448047637939,0,0
0.07000000,23.4203834533691,0,0
0.07500000,32.7866287231445,0,0
0.08000000,39.6737785339355,0,0
0.08500000,28.7075309753418,0,0
0.09000000,34.3894309997559,0,0
0.09500000,41.655933380127,0,0
0.10000000,31.2384185791016,0,0
0.10500000,24.5780410766602,0,0
0.11000000,36.8839225769043,0,0
0.11500000,34.094066619873,0,0
0.12000000,25.5901165008545,0,0
0.12500000,36.5297660827637,0,0
0.13000000,39.2006378173828,0,0
0.13500000,27.3734951019287,0,0
0.14000000,27.2447109222412,0,0
0.14500000,39.9145469665527,0,0
0.15000000,32.7530326843262,0,0
0.15500000,26.6595840454102,0,0
0.16000000,38.7764892578125,0,0
0.16500000,38.0723762512207,0,0
0.17000000,26.8415603637695,0,0
0.17500000,30.1843490600586,0,0
0.18000000,40.216911315918,0,0
0.18500000,27.9264278411865,0,0
0.19000000,29.2464637756348,0,0
0.19500000,38.7442932128906,0,0
0.20000000,32.554256439209,0,0
0.20500000,24.6326332092285,0,0
0.21000000,33.990478515625,0,0
0.21500000,39.7087745666504,0,0
0.22000000,27.4616851806641,0,0
0.22500000,33.084789276123,0,0
0.23000000,43.0095672607422,0,0
0.23500000,34.2312507629395,0,0
0.24000000,25.097375869751,0,0
0.24500000,37.2772750854492,0,0
0.25000000,34.094066619873,0,0
0.25500000,25.0511817932129,0,0
0.26000000,33.4193496704102,0,0
0.26500000,37.3388671875,0,0
0.27000000,28.6025447845459,0,0
