Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-10.0592851638794,0,0
0.00500000,-9.65193557739258,0,0
0.01000000,-9.48115634918213,0,0
0.01500000,-9.94309902191162,0,0
0.02000000,-10.7130041122437,0,0
0.02500000,-11.00696849823,0,0
0.03000000,-10.8669853210449,0,0
0.03500000,-10.3462495803833,0,0
0.04000000,-9.73312568664551,0,0
0.04500000,-9.23898601531982,0,0
0.05000000,-9.54414844512939,0,0
0.05500000,-10.1180782318115,0,0
0.06000000,-10.8655853271484,0,0
0.06500000,-10.8669853210449,0,0
0.07000000,-10.798394203186,0,0
0.07500000,-10.1628723144531,0,0
0.08000000,-9.65053558349609,0,0
0.08500000,-9.41256523132324,0,0
0.09000000,-9.6421365737915,0,0
0.09500000,-10.2048673629761,0,0
0.10000000,-10.964973449707,0,0
0.10500000,-10.8487873077393,0,0
0.11000000,-10.5842199325562,0,0
0.11500000,-9.92770099639893,0,0
0.12000000,-9.48535633087158,0,0
0.12500000,-9.3551721572876,0,0
0.13000000,-10.1404752731323,0,0
0.13500000,-10.7438011169434,0,0
0.14000000,-10.8683853149414,0,0
0.14500000,-10.7438011169434,0,0
0.15000000,-10.286057472229,0,0
0.15500000,-9.65053558349609,0,0
0.16000000,-9.46715831756592,0,0
0.16500000,-9.68273162841797,0,0
0.17000000,-10.1460742950439,0,0
0.17500000,-10.8613862991333,0,0
0.18000000,-11.043363571167,0,0
0.18500000,-10.5576238632202,0,0
0.19000000,-9.88570690155029,0,0
0.19500000,-9.39716720581055,0,0
0.20000000,-9.47135734558105,0,0
0.20500000,-10.2188653945923,0,0
0.21000000,-10.8389892578125,0,0
0.21500000,-11.0181665420532,0,0
0.22000000,-10.6878080368042,0,0
0.22500000,-10.2300643920898,0,0
0.23000000,-9.63793754577637,0,0
0.23500000,-9.48535633087158,0,0
0.24000000,-9.65053558349609,0,0
0.24500000,-10.3714466094971,0,0
0.25000000,-11.0937576293945,0,0
0.25500000,-11.0965576171875,0,0
0.26000000,-10.5856199264526,0,0
0.26500000,-9.87870788574219,0,0
0.27000000,-9.42936325073242,0,0
0.27500000,-9.54554843902588,0,0
0.28000000,-10.2104663848877,0,0
0.28500000,-10.8753843307495,0,0
0.29000000,-11.1245536804199,0,0
0.29500000,-10.9075803756714,0,0
0.30000000,-10.2608604431152,0,0
0.30500000,-9.68693065643311,0,0
0.31000000,-9.44756031036377,0,0
0.31500000,-9.78491878509522,0,0
0.32000000,-10.4176406860352,0,0
0.32500000,-10.8683853149414,0,0
0.33000000,-10.9719724655151,0,0
0.33500000,-10.6038179397583,0,0
0.34000000,-9.80311679840088,0,0
0.34500000,-9.49375534057617,0,0
0.35000000,-9.54414844512939,0,0
0.35500000,-10.2846574783325,0,0
