Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,138.099838256836,0,0
0.00500000,139.67463684082,0,0
0.01000000,138.256607055664,0,0
0.01500000,135.658538818359,0,0
0.02000000,127.843299865723,0,0
0.02500000,125.518180847168,0,0
0.03000000,130.383987426758,0,0
0.03500000,133.257827758789,0,0
0.04000000,120.487205505371,0,0
0.04500000,113.507667541504,0,0
0.05000000,126.579254150391,0,0
0.05500000,134.409881591797,0,0
0.06000000,138.999923706055,0,0
0.06500000,141.585403442383,0,0
0.07000000,139.572448730469,0,0
0.07500000,141.912963867188,0,0
0.08000000,143.570358276367,0,0
0.08500000,143.910522460938,0,0
0.09000000,128.212844848633,0,0
0.09500000,120.870758056641,0,0
0.10000000,130.753540039062,0,0
0.10500000,130.133407592773,0,0
0.11000000,128.585205078125,0,0
0.11500000,126.271293640137,0,0
0.12000000,129.118545532227,0,0
0.12500000,138.076034545898,0,0
0.13000000,144.578231811523,0,0
0.13500000,147.069931030273,0,0
0.14000000,132.857482910156,0,0
0.14500000,133.48600769043,0,0
0.15000000,139.551452636719,0,0
0.15500000,135.972091674805,0,0
0.16000000,131.534637451172,0,0
0.16500000,125.462188720703,0,0
0.17000000,129.948638916016,0,0
0.17500000,132.639099121094,0,0
0.18000000,139.711029052734,0,0
0.18500000,134.05012512207,0,0
0.19000000,124.395523071289,0,0
0.19500000,134.393096923828,0,0
0.20000000,140.92887878418,0,0
0.20500000,139.036315917969,0,0
0.21000000,129.903839111328,0,0
0.21500000,131.267272949219,0,0
0.22000000,137.992050170898,0,0
0.22500000,140.738510131836,0,0
0.23000000,139.887405395508,0,0
0.23500000,125.248016357422,0,0
0.24000000,123.376449584961,0,0
0.24500000,135.855911254883,0,0
0.25000000,141.81217956543,0,0
0.25500000,135.391159057617,0,0
0.26000000,126.778030395508,0,0
0.26500000,130.648544311523,0,0
0.27000000,136.804992675781,0,0
0.27500000,139.419876098633,0,0
0.28000000,132.046981811523,0,0
0.28500000,125.255020141602,0,0
0.29000000,134.184509277344,0,0
0.29500000,143.086013793945,0,0
0.30000000,141.957748413086,0,0
0.30500000,132.590118408203,0,0
0.31000000,126.103309631348,0,0
0.31500000,132.168762207031,0,0
0.32000000,136.606216430664,0,0
0.32500000,137.609893798828,0,0
0.33000000,122.000419616699,0,0
0.33500000,118.906799316406,0,0
0.34000000,130.775939941406,0,0
0.34500000,136.310852050781,0,0
0.35000000,134.876022338867,0,0
0.35500000,127.398155212402,0,0
0.36000000,133.51399230957,0,0
0.36500000,140.594329833984,0,0
0.37000000,145.605712890625,0,0
0.37500000,135.26237487793,0,0
0.38000000,121.453086853027,0,0
0.38500000,130.435775756836,0,0
0.39000000,138.495986938477,0,0
0.39500000,137.873062133789,0,0
0.40000000,126.960006713867,0,0
0.40500000,124.448715209961,0,0
0.41000000,129.539886474609,0,0
0.41500000,135.685134887695,0,0
0.42000000,136.817596435547,0,0
0.42500000,126.643646240234,0,0
0.43000000,129.881439208984,0,0
0.43500000,141.010070800781,0,0
0.44000000,147.039123535156,0,0
0.44500000,139.559844970703,0,0
0.45000000,128.016876220703,0,0
0.45500000,130.638748168945,0,0
0.46000000,135.113998413086,0,0
0.46500000,137.716278076172,0,0
0.47000000,127.52693939209,0,0
0.47500000,117.211608886719,0,0
0.48000000,125.14582824707,0,0
0.48500000,132.816879272461,0,0
0.49000000,135.504547119141,0,0
0.49500000,129.216522216797,0,0
0.50000000,131.100692749023,0,0
0.50500000,139.415664672852,0,0
0.51000000,146.253829956055,0,0
0.51500000,142.979629516602,0,0
0.52000000,126.657646179199,0,0
0.52500000,128.993957519531,0,0
0.53000000,136.985565185547,0,0
0.53500000,138.467987060547,0,0
0.54000000,129.42790222168,0,0
0.54500000,122.460960388184,0,0
0.55000000,128.725189208984,0,0
0.55500000,132.398330688477,0,0
0.56000000,136.544616699219,0,0
0.56500000,125.546180725098,0,0
0.57000000,123.799194335938,0,0
0.57500000,136.149871826172,0,0
0.58000000,144.694412231445,0,0
0.58500000,144.001510620117,0,0
