Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,3.9529857635498,0,0
0.00500000,3.04029846191406,0,0
0.01000000,5.8945460319519,0,0
0.01500000,1.44589507579803,0,0
0.02000000,6.70364618301392,0,0
0.02500000,3.66602110862732,0,0
0.03000000,3.78640627861023,0,0
0.03500000,4.96086120605469,0,0
0.04000000,2.38517928123474,0,0
0.04500000,5.88054800033569,0,0
0.05000000,2.67774319648743,0,0
0.05500000,4.96506071090698,0,0
0.06000000,5.02945280075073,0,0
0.06500000,2.74493479728699,0,0
0.07000000,6.67564964294434,0,0
0.07500000,2.11641240119934,0,0
0.08000000,6.15071439743042,0,0
0.08500000,3.48824310302734,0,0
0.09000000,4.63610124588013,0,0
0.09500000,6.74984073638916,0,0
0.10000000,3.31746411323547,0,0
0.10500000,5.93514108657837,0,0
0.11000000,3.17468166351318,0,0
0.11500000,5.3164176940918,0,0
0.12000000,4.91186761856079,0,0
0.12500000,3.23907375335693,0,0
0.13000000,6.5916600227356,0,0
0.13500000,2.70014023780823,0,0
0.14000000,5.44520139694214,0,0
0.14500000,2.57835531234741,0,0
0.15000000,4.23995018005371,0,0
0.15500000,4.84467554092407,0,0
0.16000000,1.70906269550323,0,0
0.16500000,6.79323530197144,0,0
0.17000000,2.58255481719971,0,0
0.17500000,5.46899843215942,0,0
0.18000000,3.18308067321777,0,0
0.18500000,3.20267844200134,0,0
0.19000000,6.59585952758789,0,0
0.19500000,1.83504712581635,0,0
0.20000000,6.61965656280518,0,0
0.20500000,4.15176105499268,0,0
0.21000000,4.23435115814209,0,0
0.21500000,5.2100305557251,0,0
0.22000000,3.08649277687073,0,0
0.22500000,6.03312921524048,0,0
0.23000000,2.1766049861908,0,0
0.23500000,6.25290203094482,0,0
0.24000000,4.3925313949585,0,0
0.24500000,4.15456104278564,0,0
0.25000000,5.13024044036865,0,0
0.25500000,2.6021523475647,0,0
0.26000000,6.38308572769165,0,0
0.26500000,2.74073529243469,0,0
0.27000000,4.9412636756897,0,0
0.27500000,5.40180683135986,0,0
0.28000000,3.26707029342651,0,0
0.28500000,4.18675708770752,0,0
0.29000000,2.89751601219177,0,0
0.29500000,5.43680286407471,0,0
