Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,-11.4689111709595,0,0
0.00500000,-10.2720584869385,0,0
0.01000000,-10.0984802246094,0,0
0.01500000,-9.84651184082031,0,0
0.02000000,-10.8613862991333,0,0
0.02500000,-10.158673286438,0,0
0.03000000,-10.2146663665771,0,0
0.03500000,-10.1474742889404,0,0
0.04000000,-10.4414377212524,0,0
0.04500000,-10.3756456375122,0,0
0.05000000,-10.0900812149048,0,0
0.05500000,-9.82551383972168,0,0
0.06000000,-9.92070198059082,0,0
0.06500000,-10.6416130065918,0,0
0.07000000,-10.0942811965942,0,0
0.07500000,-9.12979984283447,0,0
0.08000000,-8.6888542175293,0,0
0.08500000,-9.679931640625,0,0
0.09000000,-10.1446743011475,0,0
0.09500000,-9.97109603881836,0,0
0.10000000,-9.91370296478271,0,0
0.10500000,-9.69672966003418,0,0
0.11000000,-8.96741962432861,0,0
0.11500000,-8.31650066375732,0,0
0.12000000,-7.72017383575439,0,0
0.12500000,-7.18264007568359,0,0
0.13000000,-7.77476692199707,0,0
0.13500000,-7.63198471069336,0,0
0.14000000,-7.53539657592773,0,0
0.14500000,-7.15464353561401,0,0
0.15000000,-7.5493950843811,0,0
0.15500000,-8.16391944885254,0,0
0.16000000,-7.59138965606689,0,0
0.16500000,-6.7360954284668,0,0
0.17000000,-7.58998966217041,0,0
0.17500000,-8.55587100982666,0,0
0.18000000,-9.03181171417236,0,0
0.18500000,-8.98141860961914,0,0
0.19000000,-8.2647066116333,0,0
0.19500000,-7.78316593170166,0,0
0.20000000,-7.59138965606689,0,0
0.20500000,-7.07625341415405,0,0
0.21000000,-7.31562376022339,0,0
0.21500000,-7.01746034622192,0,0
0.22000000,-7.26522970199585,0,0
0.22500000,-7.29322624206543,0,0
0.23000000,-7.15884304046631,0,0
0.23500000,-6.89707517623901,0,0
0.24000000,-7.40101337432861,0,0
0.24500000,-8.65665817260742,0,0
0.25000000,-9.55814743041992,0,0
0.25500000,-9.06400775909424,0,0
0.26000000,-8.01973724365234,0,0
0.26500000,-8.49007892608643,0,0
0.27000000,-9.24458599090576,0,0
0.27500000,-8.77844333648682,0,0
0.28000000,-8.68605422973633,0,0
0.28500000,-8.6888542175293,0,0
0.29000000,-9.20818996429443,0,0
0.29500000,-8.86663246154785,0,0
0.30000000,-9.18999195098877,0,0
0.30500000,-8.83723640441895,0,0
0.31000000,-8.91282653808594,0,0
0.31500000,-8.92122554779053,0,0
0.32000000,-8.89182949066162,0,0
0.32500000,-8.99541664123535,0,0
0.33000000,-9.46995830535889,0,0
0.33500000,-10.3784456253052,0,0
0.34000000,-10.6178159713745,0,0
0.34500000,-9.54554843902588,0,0
0.35000000,-8.58806705474854,0,0
0.35500000,-9.20678997039795,0,0
0.36000000,-9.80031681060791,0,0
0.36500000,-9.31037712097168,0,0
0.37000000,-8.9912166595459,0,0
0.37500000,-8.66365718841553,0,0
0.38000000,-8.8246374130249,0,0
0.38500000,-8.26050758361816,0,0
0.39000000,-8.31510066986084,0,0
0.39500000,-7.62638521194458,0,0
0.40000000,-7.41921091079712,0,0
0.40500000,-7.18404006958008,0,0
0.41000000,-7.21203660964966,0,0
0.41500000,-6.95166873931885,0,0
0.42000000,-7.34362030029297,0,0
0.42500000,-7.93994665145874,0,0
0.43000000,-8.17091846466065,0,0
0.43500000,-7.04825687408447,0,0
0.44000000,-6.68010234832764,0,0
0.44500000,-8.09952735900879,0,0
0.45000000,-8.86103343963623,0,0
0.45500000,-8.49567794799805,0,0
0.46000000,-8.18911552429199,0,0
0.46500000,-8.26050758361816,0,0
0.47000000,-8.65245914459229,0,0
0.47500000,-8.27450561523437,0,0
0.48000000,-8.28430461883545,0,0
0.48500000,-8.05053329467773,0,0
0.49000000,-8.43408584594727,0,0
0.49500000,-8.08412933349609,0,0
0.50000000,-8.31510066986084,0,0
0.50500000,-8.55167102813721,0,0
0.51000000,-9.21798896789551,0,0
0.51500000,-10.0270891189575,0,0
0.52000000,-9.97109603881836,0,0
0.52500000,-8.84143543243408,0,0
0.53000000,-8.78684234619141,0,0
0.53500000,-10.2622604370117,0,0
0.54000000,-10.2846574783325,0,0
0.54500000,-9.60014152526855,0,0
0.55000000,-9.48955535888672,0,0
0.55500000,-9.57214546203613,0,0
0.56000000,-9.47135734558105,0,0
0.56500000,-8.87923049926758,0,0
0.57000000,-9.44896030426025,0,0
0.57500000,-9.42516326904297,0,0
0.58000000,-9.82131481170654,0,0
0.58500000,-9.16759490966797,0,0
0.59000000,-9.1885929107666,0,0
0.59500000,-8.79244136810303,0,0
0.60000000,-9.24318599700928,0,0
0.60500000,-10.2118663787842,0,0
0.61000000,-9.94309902191162,0,0
0.61500000,-8.45088386535645,0,0
0.62000000,-8.537672996521,0,0
0.62500000,-10.3574485778809,0,0
0.63000000,-9.73032569885254,0,0
0.63500000,-8.46348190307617,0,0
0.64000000,-8.537672996521,0,0
0.64500000,-8.95762062072754,0,0
0.65000000,-9.50915336608887,0,0
0.65500000,-9.66873359680176,0,0
0.66000000,-10.7759971618652,0,0
0.66500000,-10.1726713180542,0,0
0.67000000,-9.40136623382568,0,0
0.67500000,-8.61746311187744,0,0
0.68000000,-7.81116247177124,0,0
0.68500000,-7.61238718032837,0,0
0.69000000,-8.37949275970459,0,0
0.69500000,-7.99174022674561,0,0
0.70000000,-6.71509790420532,0,0
0.70500000,-7.55639410018921,0,0
0.71000000,-8.88343048095703,0,0
0.71500000,-7.81676197052002,0,0
0.72000000,-7.00346231460571,0,0
0.72500000,-7.08045291900635,0,0
0.73000000,-8.47887992858887,0,0
0.73500000,-8.14012241363525,0,0
0.74000000,-8.65245914459229,0,0
0.74500000,-9.62253856658936,0,0
0.75000000,-9.84231185913086,0,0
0.75500000,-9.93470096588135,0,0
0.76000000,-9.52175140380859,0,0
0.76500000,-9.8311128616333,0,0
0.77000000,-10.116678237915,0,0
0.77500000,-11.1525506973267,0,0
0.78000000,-9.45316028594971,0,0
0.78500000,-8.65385818481445,0,0
0.79000000,-9.26838302612305,0,0
0.79500000,-10.7200040817261,0,0
0.80000000,-9.7933177947998,0,0
0.80500000,-8.31230068206787,0,0
0.81000000,-8.31929969787598,0,0
0.81500000,-8.63426113128662,0,0
0.82000000,-7.9959397315979,0,0
0.82500000,-7.71037483215332,0,0
0.83000000,-7.89795207977295,0,0
0.83500000,-7.54379558563232,0,0
0.84000000,-7.52139854431152,0,0
0.84500000,-7.24423265457153,0,0
0.85000000,-7.44160795211792,0,0
0.85500000,-8.47608089447021,0,0
