Time (s),AI 2/Load Cell of Pull Sled (lbf),Formula 2/Pull Sled Speed (mph),Formula 6/Sled Pull Distance (ft)
0.00000000,21.3052444458008,0,0
0.00500000,18.9689331054687,0,0
0.01000000,28.3015804290771,0,0
0.01500000,13.5795974731445,0,0
0.02000000,20.5087432861328,0,0
0.02500000,18.1458339691162,0,0
0.03000000,15.4609661102295,0,0
0.03500000,29.291259765625,0,0
0.04000000,13.9869480133057,0,0
0.04500000,17.7454833984375,0,0
0.05000000,25.0623817443848,0,0
0.05500000,14.6000719070435,0,0
0.06000000,27.0571346282959,0,0
0.06500000,15.4119720458984,0,0
0.07000000,15.0004224777222,0,0
0.07500000,24.6004371643066,0,0
0.08000000,15.0172204971313,0,0
0.08500000,28.4779586791992,0,0
0.09000000,23.4315814971924,0,0
0.09500000,9.10715007781982,0,0
0.10000000,21.4382286071777,0,0
0.10500000,14.4992847442627,0,0
0.11000000,22.8142585754395,0,0
0.11500000,27.8676338195801,0,0
0.12000000,10.8653326034546,0,0
0.12500000,22.2571277618408,0,0
0.13000000,18.2886161804199,0,0
0.13500000,17.283540725708,0,0
0.14000000,28.1322021484375,0,0
0.14500000,11.6800317764282,0,0
0.15000000,14.2025213241577,0,0
0.15500000,25.0427837371826,0,0
0.16000000,16.5696296691895,0,0
0.16500000,27.4966812133789,0,0
0.17000000,18.5265865325928,0,0
0.17500000,9.57749176025391,0,0
0.18000000,22.3257179260254,0,0
0.18500000,17.4207229614258,0,0
0.19000000,21.0574741363525,0,0
0.19500000,27.8088417053223,0,0
0.20000000,11.9194030761719,0,0
0.20500000,15.3223829269409,0,0
0.21000000,22.1367416381836,0,0
0.21500000,14.1171312332153,0,0
0.22000000,24.43385887146,0,0
0.22500000,17.2793407440186,0,0
0.23000000,12.4051427841187,0,0
0.23500000,25.534122467041,0,0
0.24000000,17.7692813873291,0,0
0.24500000,17.7678813934326,0,0
0.25000000,23.0102348327637,0,0
0.25500000,11.6520357131958,0,0
0.26000000,15.0508165359497,0,0
0.26500000,23.064826965332,0,0
0.27000000,17.0707664489746,0,0
0.27500000,22.6686763763428,0,0
0.28000000,21.1428642272949,0,0
0.28500000,10.6357612609863,0,0
0.29000000,20.7481136322021,0,0
0.29500000,20.9622859954834,0,0
0.30000000,16.7012119293213,0,0
0.30500000,20.1769828796387,0,0
0.31000000,16.765604019165,0,0
0.31500000,16.4464435577393,0,0
0.32000000,20.5311393737793,0,0
0.32500000,17.541109085083,0,0
0.33000000,19.0725193023682,0,0
0.33500000,22.8184585571289,0,0
0.34000000,15.4385681152344,0,0
0.34500000,16.562629699707,0,0
0.35000000,18.8345489501953,0,0
0.35500000,17.8294734954834,0,0
0.36000000,20.9146919250488,0,0
0.36500000,19.3720836639404,0,0
0.37000000,18.8485469818115,0,0
0.37500000,16.971378326416,0,0
0.38000000,18.670768737793,0,0
0.38500000,20.4807453155518,0,0
0.39000000,17.3255348205566,0,0
0.39500000,19.2432994842529,0,0
0.40000000,16.9671802520752,0,0
0.40500000,16.2392692565918,0,0
0.41000000,20.3575611114502,0,0
0.41500000,21.1806602478027,0,0
0.42000000,17.8784675598145,0,0
0.42500000,18.64697265625,0,0
0.43000000,19.0011291503906,0,0
0.43500000,12.7704973220825,0,0
0.44000000,17.9428596496582,0,0
0.44500000,22.8212566375732,0,0
0.45000000,17.7398853302002,0,0
0.45500000,21.8945713043213,0,0
0.46000000,18.8541469573975,0,0
0.46500000,12.6641111373901,0,0
0.47000000,18.701566696167,0,0
0.47500000,20.0509986877441,0,0
0.48000000,16.5290336608887,0,0
0.48500000,20.1335887908936,0,0
0.49000000,21.6608009338379,0,0
0.49500000,16.2714653015137,0,0
0.50000000,16.2602672576904,0,0
0.50500000,20.2595729827881,0,0
0.51000000,15.7213335037231,0,0
0.51500000,18.6749687194824,0,0
0.52000000,22.0807495117187,0,0
0.52500000,15.8165216445923,0,0
0.53000000,17.0511703491211,0,0
0.53500000,21.8413791656494,0,0
0.54000000,16.7586059570313,0,0
0.54500000,16.9125862121582,0,0
0.55000000,20.855899810791,0,0
0.55500000,20.7873077392578,0,0
0.56000000,12.8768844604492,0,0
0.56500000,18.8667449951172,0,0
0.57000000,22.3285179138184,0,0
0.57500000,14.7064590454102,0,0
0.58000000,19.2153015136719,0,0
0.58500000,20.4205532073975,0,0
0.59000000,13.6215925216675,0,0
0.59500000,18.798152923584,0,0
0.60000000,22.8030605316162,0,0
0.60500000,17.492115020752,0,0
0.61000000,16.9391841888428,0,0
0.61500000,19.7150402069092,0,0
0.62000000,20.1573867797852,0,0
0.62500000,14.3369045257568,0,0
0.63000000,17.4039249420166,0,0
0.63500000,19.9866065979004,0,0
0.64000000,17.4263229370117,0,0
0.64500000,22.994836807251,0,0
0.65000000,19.3804817199707,0,0
0.65500000,13.6943836212158,0,0
0.66000000,17.3787288665771,0,0
0.66500000,22.2613258361816,0,0
0.67000000,18.9843311309814,0,0
0.67500000,16.8943881988525,0,0
0.68000000,19.2474975585938,0,0
0.68500000,20.6151294708252,0,0
0.69000000,18.8919429779053,0,0
0.69500000,15.5113592147827,0,0
0.70000000,19.1635093688965,0,0
0.70500000,20.5353393554687,0,0
0.71000000,20.4429512023926,0,0
0.71500000,19.6996421813965,0,0
0.72000000,18.7351608276367,0,0
0.72500000,16.2574672698975,0,0
0.73000000,16.8649921417236,0,0
0.73500000,21.2576503753662,0,0
0.74000000,19.6170520782471,0,0
0.74500000,17.3101367950439,0,0
0.75000000,20.7201175689697,0,0
0.75500000,22.3999099731445,0,0
0.76000000,16.64381980896,0,0
0.76500000,14.0709371566772,0,0
0.77000000,20.2357769012451,0,0
0.77500000,20.8279037475586,0,0
0.78000000,17.9050636291504,0,0
0.78500000,21.1498641967773,0,0
0.79000000,21.0630741119385,0,0
0.79500000,17.3479328155518,0,0
0.80000000,17.2401466369629,0,0
0.80500000,19.8844203948975,0,0
0.81000000,19.1327133178711,0,0
0.81500000,18.5853805541992,0,0
0.82000000,20.4387512207031,0,0
0.82500000,21.5754108428955,0,0
0.83000000,19.9264144897461,0,0
0.83500000,14.2081203460693,0,0
0.84000000,16.6998119354248,0,0
0.84500000,21.0070819854736,0,0
0.85000000,17.9008636474609,0,0
0.85500000,18.9227390289307,0,0
0.86000000,21.964563369751,0,0
0.86500000,19.2041034698486,0,0
0.87000000,14.8982353210449,0,0
0.87500000,16.2938632965088,0,0
0.88000000,18.3978023529053,0,0
0.88500000,15.8529176712036,0,0
0.89000000,17.6516952514648,0,0
0.89500000,20.2763710021973,0,0
0.90000000,23.0242328643799,0,0
0.90500000,18.1752300262451,0,0
0.91000000,11.7122278213501,0,0
0.91500000,16.9867782592773,0,0
0.92000000,20.5605354309082,0,0
0.92500000,17.6069011688232,0,0
0.93000000,16.6802158355713,0,0
0.93500000,18.5825805664062,0,0
0.94000000,20.010404586792,0,0
0.94500000,16.6508178710938,0,0
0.95000000,16.971378326416,0,0
0.95500000,19.4084777832031,0,0
0.96000000,17.6894912719727,0,0
0.96500000,18.4579963684082,0,0
0.97000000,20.5367393493652,0,0
0.97500000,20.804105758667,0,0
0.98000000,15.8865127563477,0,0
0.98500000,13.9449529647827,0,0
0.99000000,18.3740062713623,0,0
0.99500000,20.8265037536621,0,0
1.00000000,18.8457489013672,0,0
1.00500000,19.8242263793945,0,0
1.01000000,19.825626373291,0,0
1.01500000,17.7482833862305,0,0
1.02000000,17.2919387817383,0,0
1.02500000,17.3465328216553,0,0
1.03000000,16.6760158538818,0,0
1.03500000,17.6278991699219,0,0
1.04000000,21.8357791900635,0,0
1.04500000,21.6146068572998,0,0
1.05000000,18.9381370544434,0,0
1.05500000,18.1458339691162,0,0
1.06000000,14.7918481826782,0,0
1.06500000,13.8035697937012,0,0
1.07000000,19.9138164520264,0,0
1.07500000,22.4964981079102,0,0
1.08000000,20.29176902771,0,0
1.08500000,19.4602718353271,0,0
1.09000000,17.4907150268555,0,0
1.09500000,17.6978893280029,0,0
